Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Aug 2023,Searches: Sep 2023,Searches: Oct 2023,Searches: Nov 2023,Searches: Dec 2023,Searches: Jan 2024,Searches: Feb 2024,Searches: Mar 2024,Searches: Apr 2024,Searches: May 2024,Searches: Jun 2024,Searches: Jul 2024
editorial novela,EUR,50,0%,0%,Medium,62,0.39,1.11,,,,,,,,,,,,,,,,,
publicacion de libro,EUR,50,0%,0%,Low,33,0.47,1.04,,,,,,,,,,,,,,,,,
edición libro,EUR,50,-90%,0%,High,67,0.40,1.02,,,,,,,,,,,,,,,,,
edicion en un libro,EUR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
libro editorial,EUR,50,-90%,0%,Medium,67,0.34,0.54,,,,,,,,,,,,,,,,,
libros y su editorial,EUR,50,0%,0%,Unknown,,,,,,,,,,,,,,,,,,,,
libros con editor,EUR,50,0%,∞,Low,7,,,,,,,,,,,,,,,,,,,
edicion en libros,EUR,50,∞,∞,Low,0,,,,,,,,,,,,,,,,,,,
la editorial libro,EUR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
editoriales literarias,EUR,50,0%,0%,Low,19,,,,,,,,,,,,,,,,,,,
corrección de libros,EUR,50,0%,0%,Low,20,0.14,0.71,,,,,,,,,,,,,,,,,
corrección de novelas,EUR,50,0%,0%,Low,13,,,,,,,,,,,,,,,,,,,
corrección de textos literarios,EUR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
correccion de libros,EUR,50,0%,0%,Low,20,0.14,0.71,,,,,,,,,,,,,,,,,
correcciones literarias,EUR,50,0%,0%,Low,11,,,,,,,,,,,,,,,,,,,
corrector de novelas,EUR,50,0%,0%,Medium,43,0.14,0.54,,,,,,,,,,,,,,,,,
edicion editorial,EUR,50,0%,0%,Medium,37,0.75,2.21,,,,,,,,,,,,,,,,,
corrector de libros,EUR,50,0%,900%,Medium,34,0.15,0.96,,,,,,,,,,,,,,,,,
ejemplo de informe de lectoescritura,EUR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
ejemplo de reporte de lectura,EUR,50,0%,∞,Low,0,,,,,,,,,,,,,,,,,,,
estructura de un reporte de lectura,EUR,50,0%,-100%,Unknown,,,,,,,,,,,,,,,,,,,,
hacer reporte de lectura,EUR,50,0%,0%,Unknown,,,,,,,,,,,,,,,,,,,,
informe de lectura caracteristicas,EUR,50,0%,0%,Unknown,,,,,,,,,,,,,,,,,,,,
informe de lectura como se hace,EUR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
informe de lectura de un libro ejemplo,EUR,50,0%,0%,Unknown,,,,,,,,,,,,,,,,,,,,
informe de lectura ejemplo pdf,EUR,50,-100%,-100%,Unknown,,,,,,,,,,,,,,,,,,,,
informe de lectura pdf,EUR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
modelo informe de lectura,EUR,50,-100%,0%,Unknown,,,,,,,,,,,,,,,,,,,,
pasos para hacer un informe de lectura,EUR,50,0%,0%,Unknown,,,,,,,,,,,,,,,,,,,,
reporte de lectura,EUR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
reportes de lectura pdf,EUR,50,0%,∞,Low,0,,,,,,,,,,,,,,,,,,,
correccion de,EUR,50,0%,0%,Low,3,,,,,,,,,,,,,,,,,,,
correccion estilo,EUR,50,0%,0%,Low,12,0.21,1.29,,,,,,,,,,,,,,,,,
corrector de,EUR,50,-90%,0%,Low,12,0.01,0.05,,,,,,,,,,,,,,,,,
corrector de estilo de texto,EUR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
corrector estilo,EUR,50,0%,900%,Low,6,0.02,0.12,,,,,,,,,,,,,,,,,
de corrección,EUR,50,-100%,-100%,Unknown,,,,,,,,,,,,,,,,,,,,
textos corrector,EUR,50,0%,0%,Low,19,,,,,,,,,,,,,,,,,,,
libros con autor año y editorial,EUR,0,0%,0%,Unknown,,,,,,,,,,,,,,,,,,,,
ejemplo de un informe de lectura de un libro,EUR,0,0%,0%,Unknown,,,,,,,,,,,,,,,,,,,,
modelo de un informe de lectura,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
Archivo Final - Keyword Research,,,,,,,,,,,,,,,,,,,,,,,,,
"August 1, 2023 - July 31, 2024",,,,,,,,,,,,,,,,,,,,,,,,,
