Iripa-keyword,,,,,,,,,,,,,,,,,,,,,,,,,
"October 1, 2023 - September 30, 2024",,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Oct 2023,Searches: Nov 2023,Searches: Dec 2023,Searches: Jan 2024,Searches: Feb 2024,Searches: Mar 2024,Searches: Apr 2024,Searches: May 2024,Searches: Jun 2024,Searches: Jul 2024,Searches: Aug 2024,Searches: Sep 2024
chm constructora,EUR,10,∞,∞,Low,0,,,,,,,,0,0,0,0,10,0,0,0,0,0,0,10
cies obra civil,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
civil constructora,EUR,10,0%,0%,Unknown,,,,,,,,,0,0,0,0,10,0,0,0,0,0,0,0
civil en obras civiles,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
civil obra,EUR,10,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,10,0
civiles construcciones sas,EUR,10,∞,∞,Low,0,,,,,,,,10,0,0,0,0,0,0,0,0,0,0,10
civilpro ingenieria y construccion,EUR,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
civiltec constructora,EUR,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
cjm construcciones,EUR,10,-100%,0%,Unknown,,,,,,,,,0,0,0,10,10,0,10,10,0,10,0,0
cmg construcciones y mantenimiento en general,EUR,10,∞,∞,Low,14,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,10
cobosa construcciones,EUR,10,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,10,0,0,0,0,0,0
compañia de construcciones civiles sa,EUR,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
concesion de obras,EUR,10,-100%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,10,0,0
concesión de obra pública ejemplos,EUR,10,-100%,-100%,Unknown,,,,,,,,,0,10,10,0,0,0,0,10,10,10,0,0
construccion 1 ingenieria civil,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
construccion arquitectonica,EUR,10,∞,0%,Low,4,,,,,,,,10,10,10,0,10,10,0,0,10,0,0,10
construccion carreteras,EUR,10,∞,∞,Low,0,,,,,,,,0,0,0,0,10,0,0,0,10,0,0,10
construccion chalet,EUR,10,∞,∞,High,100,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,10
construccion civil 2023,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
construccion civil andres bello,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
construccion civil capeco,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
construccion civil catolica,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
construccion civil los leones,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
construccion civil puntaje corte,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
construccion civil semipresencial,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
construccion civil u catolica,EUR,10,0%,0%,Unknown,,,,,,,,,0,0,0,10,0,0,0,0,0,0,0,0
construccion civil u mayor,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
construccion civil umsa,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
construccion de carreteras,EUR,10,-100%,-100%,Unknown,,,,,,,,,10,0,0,0,10,10,10,10,10,10,10,0
construccion de casa habitacion,EUR,10,0%,0%,Unknown,,,,,,,,,0,0,0,0,10,0,0,0,0,0,10,0
construccion de chalet,EUR,10,0%,0%,Unknown,,,,,,,,,0,0,0,0,10,0,0,0,10,0,0,0
construccion de escaleras de hormigon,EUR,10,0%,0%,Unknown,,,,,,,,,10,10,0,10,10,0,0,0,0,0,0,0
construccion de infraestructura,EUR,10,0%,∞,Low,9,,,,,,,,0,10,10,0,0,10,10,0,10,10,10,10
construccion de ingenieria civil,EUR,10,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,10,0,0,0,0,10,0
construccion de jacuzzis,EUR,10,0%,0%,Unknown,,,,,,,,,0,0,10,0,0,0,0,0,0,0,0,0
construccion de obra civil,EUR,10,0%,0%,Low,0,,,,,,,,0,0,0,0,10,10,10,10,10,10,0,10
construccion de obras de ingenieria civil,EUR,10,-100%,-100%,Unknown,,,,,,,,,0,0,0,0,0,0,0,10,0,10,0,0
construccion de pisos,EUR,10,0%,0%,Unknown,,,,,,,,,0,10,0,10,10,10,0,10,10,0,0,0
construccion de quincho,EUR,20,0%,0%,Medium,38,0.04,0.14,,,,,,30,30,20,40,20,10,10,20,10,10,10,10
construccion de rampas,EUR,10,∞,∞,Low,0,,,,,,,,0,0,0,0,10,0,0,10,0,0,0,10
construccion de saunas,EUR,10,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,10,0,0,0,0,0
construccion de spas,EUR,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
construccion empresa,EUR,10,0%,-100%,Unknown,,,,,,,,,10,0,10,0,0,0,0,0,10,0,10,0
construccion en la ingenieria civil,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
construccion en obra,EUR,10,0%,-100%,Unknown,,,,,,,,,0,0,0,0,0,10,10,10,0,0,0,0
construccion especializada,EUR,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
construccion obra gris,EUR,10,∞,0%,Low,0,,,,,,,,10,10,0,10,10,10,10,10,0,0,10,10
construccion piscina gunitada,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
construccion precios,EUR,30,0%,0%,Medium,46,0.06,0.23,,,,,,20,10,50,40,30,50,30,50,20,20,20,20
construccion quincho,EUR,10,-100%,-100%,Unknown,,,,,,,,,10,10,10,30,10,10,10,10,10,10,10,0
construccion remodelacion,EUR,10,∞,0%,Low,0,,,,,,,,0,10,0,10,10,10,0,10,0,0,10,10
construccion residencial,EUR,10,0%,∞,Low,29,,,,,,,,0,10,0,0,0,10,10,10,0,10,0,10
construccion servicios,EUR,10,0%,0%,High,69,0.13,0.26,,,,,,0,10,0,10,0,10,0,10,10,10,0,10
construccion sin permiso de edificacion,EUR,10,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,10,0,0,0,0
construccion spa,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
construccion vial,EUR,10,0%,0%,Low,0,,,,,,,,10,10,0,10,10,10,10,10,10,10,10,10
construccion y ingenieria civil,EUR,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
construccion y mantenimiento,EUR,10,0%,0%,Low,21,,,,,,,,10,10,10,10,10,0,10,0,0,10,10,10
construccion y mantenimiento industrial,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
construccion y obra civil,EUR,10,∞,∞,Medium,43,,,,,,,,0,0,0,0,0,0,0,10,0,0,0,10
construccion y remodelacion de casas,EUR,10,0%,0%,Unknown,,,,,,,,,0,0,0,10,0,0,0,0,0,0,0,0
construccion y servicio,EUR,10,-100%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,10,10,0,0
construccion y servicios,EUR,10,-100%,-100%,Unknown,,,,,,,,,0,10,0,0,0,10,0,10,0,10,10,0
construcciones abolafio,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
construcciones aitana san vicente del raspeig,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
construcciones antroju,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
construcciones aplibur,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
construcciones boreste,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
construcciones boreste sa,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
construcciones campos,EUR,10,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,10,0,10,0,0,0
construcciones cantabricas,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
construcciones civiles de san luis,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
construcciones civiles extremeñas,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
construcciones civiles generales,EUR,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
construcciones civiles generales sa,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
construcciones civiles umsa,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
construcciones civiles y edificación,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
construcciones civiles y edificación secundaria,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
construcciones civiles y management sa,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
construcciones civiles y pavimentos sas,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
construcciones civiles y portuarias sa,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
construcciones de ingenieria civil,EUR,10,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,10,0,0,0,0,10,0
construcciones e instalaciones,EUR,10,0%,0%,Unknown,,,,,,,,,0,10,0,0,0,0,0,0,0,0,0,0
construcciones e instalaciones industriales,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
construcciones edilicias,EUR,10,0%,0%,Low,0,,,,,,,,10,10,10,10,0,10,10,10,10,10,0,10
construcciones eléctricas,EUR,10,∞,∞,High,71,,,,,,,,0,0,0,0,10,0,0,0,0,0,0,10
construcciones faus,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
construcciones fechi,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
construcciones garrucho,EUR,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
construcciones garrucho sa,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
construcciones industriales y portuarias sa,EUR,10,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,10,0
construcciones infraestructura y servicios sa,EUR,10,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,10,0,0,0,0,0,0
construcciones integrales tigre,EUR,10,0%,0%,Unknown,,,,,,,,,10,10,0,10,0,0,0,0,10,0,10,0
construcciones los campos,EUR,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
construcciones mega,EUR,10,0%,0%,Low,0,,,,,,,,10,10,10,10,0,10,10,10,10,10,10,10
construcciones mineras sa,EUR,10,0%,∞,Low,29,,,,,,,,0,10,0,10,10,10,10,0,0,10,0,10
construcciones norte,EUR,10,0%,0%,Unknown,,,,,,,,,10,0,10,10,10,0,10,0,0,0,0,0
construcciones obras y viales sa,EUR,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
construcciones portuarias,EUR,10,∞,∞,Low,0,,,,,,,,10,0,0,10,0,0,0,10,10,0,0,10
construcciones provisionales,EUR,10,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,10,0,0,0,0,0
construcciones publicas,EUR,10,-100%,0%,Unknown,,,,,,,,,10,0,0,0,0,0,10,0,0,10,0,0
construcciones racosa,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
construcciones reyes almeida,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
construcciones sa,EUR,10,0%,0%,Low,29,,,,,,,,10,10,10,10,10,0,10,10,10,10,10,10
construcciones tejera sa,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
construcciones valbuena,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
construcciones villanueva,EUR,10,0%,0%,Unknown,,,,,,,,,0,0,0,0,10,0,0,10,0,0,0,0
construcciones y consultoria sociedad anonima,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
construcciones y consultorias civiles ltda,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
construcciones y contratas,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
construcciones y montajes,EUR,10,0%,0%,Unknown,,,,,,,,,0,0,0,10,10,0,0,0,0,0,0,0
construcciones y obras valbuena,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
construcciones y obras victorino vicente,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
construcciones y servicios del noreste,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
construcciones y servicios faus,EUR,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
